"","Country","ccodealp","GLIT_IRT","GLIT_sum"
"1","France","FRA",3.74082093038025,1
"2","Pakistan","PAK",3.73983041892612,1
"3","Georgia","GEO",3.73899950157772,1
"4","Chile","CHL",3.72439659218683,1
"5","Ireland","IRL",3.42117776300246,0.9
"6","Netherlands","NLD",3.40274166074372,0.9
"7","Belgium","BEL",3.39739803204341,0.9
"8","Slovenia","SVN",3.38441211612473,0.9
"9","North Macedonia","MKD",3.37044252249387,0.9
"10","Lithuania","LTU",3.30558035550544,0.9
"11","Switzerland","CHE",2.9948549263182,0.8
"12","Germany","DEU",2.99041482613509,0.8
"13","Israel","ISR",2.98114532168379,0.8
"14","Poland","POL",2.97687015476576,0.8
"15","Canada","CAN",2.75148464567357,0.8
"16","Thailand","THA",2.64912772037516,0.9
"17","Armenia","ARM",2.64074153220288,0.9
"18","Montenegro","MNE",2.63876534361787,0.9
"19","Nicaragua","NIC",2.63451632816282,0.9
"20","Brazil","BRA",2.63402661453959,0.9
"21","Ecuador","ECU",2.63055171790218,0.9
"22","Ukraine","UKR",2.62250809465421,0.9
"23","Romania","ROU",2.62205663824302,0.9
"24","Timor-Leste","TLS",2.6208758416905,0.9
"25","Portugal","PRT",2.61954975926237,0.9
"26","Bulgaria","BGR",2.61158588607901,0.9
"27","Kenya","KEN",2.38407374958006,0.8
"28","Slovakia","SVK",2.37153493983826,0.8
"29","Türkiye","TUR",2.37132437322685,0.8
"30","Costa Rica","CRI",2.37088917479921,0.8
"31","Finland","FIN",2.36685467669003,0.8
"32","Greece","GRC",2.36504272237937,0.8
"33","Latvia","LVA",2.36339976687568,0.8
"34","Dominican Republic","DOM",2.36337662777199,0.8
"35","Sweden","SWE",2.36262401217297,0.8
"36","Mongolia","MNG",2.35974359843524,0.8
"37","Croatia","HRV",2.35819993700671,0.8
"38","Malta","MLT",2.35734083070925,0.8
"39","Estonia","EST",2.35683671202208,0.8
"40","Bosnia and Herzegovina","BIH",2.34832754897948,0.8
"41","Spain","ESP",2.29859897545914,0.8
"42","Iceland","ISL",2.28332226971172,0.8
"43","Peru","PER",2.13087310314696,0.9
"44","Czechia","CZE",2.06540987598561,0.7
"45","Luxembourg","LUX",1.94445102793145,0.7
"46","Albania","ALB",1.91809330357325,0.8
"47","Denmark","DNK",1.88610304060343,0.7
"48","Indonesia","IDN",1.70110908779995,0.8
"49","Rwanda","RWA",1.69549027641035,0.8
"50","Australia","AUS",1.59634571909,0.7
"51","Cyprus","CYP",1.51849851804901,0.7
"52","Republic of Korea","KOR",1.51205084134157,0.7
"53","Somalia","SOM",1.48923609899048,0.8
"54","Maldives","MDV",1.48541416013566,0.8
"55","Sierra Leone","SLE",1.48230667017028,0.8
"56","Russian Federation","RUS",1.48090048544769,0.7
"57","Tunisia","TUN",1.47841249357413,0.8
"58","Paraguay","PRY",1.47274596687776,0.8
"59","Iran (Islamic Republic of)","IRN",1.46507550504552,0.8
