Ranking,Country,Date,Right of Access,Scope,Requesting Procedure,Exceptions & Refusals,Appeals,Sanctions & Protections,Promotional Measures,Total,Law,Report
1,Afghanistan,2014,5,30,28,30,26,6,14,139,,
2,Mexico,2002,6,30,28,28,26,4,14,136,,
3,Serbia,2003,5,30,22,26,29,7,16,135,,
4,Sri Lanka,2016,5,28,26,23,29,4,16,131,,
5,Gambia,2021,2,30,24,23,28,7,14,128,,
6,Slovenia,2003,2,30,26,25,28,4,13,128,,
7,Albania,1999,6,29,26,27,23,6,10,127,,
8,Croatia,2003,5,30,22,26,29,5,9,126,,
9,India,2005,4,25,24,26,29,5,13,126,,
10,Liberia,2010,4,30,19,27,20,7,16,123,,
11,Sierra Leone,2013,0,29,25,18,28,7,15,122,,
12,South Sudan,2013,6,27,17,26,22,8,15,121,,
13,Vanuatu,2017,3,26,23,23,26,6,14,121,,
14,El Salvador,2011,4,30,24,22,23,1,16,120,,
15,Tunisia,2011,4,28,22,25,23,2,15,119,,
16,South Africa,2000,6,22,19,23,28,6,14,118,,
17,Namibia,2022,3,23,21,21,29,5,14,116,,
18,Saint Kitts and Nevis,2018,2,25,18,23,25,8,15,116,,
19,Ukraine,1992,5,26,22,24,25,3,10,115,,
20,Antigua and Barbuda,2004,3,24,20,23,24,5,14,113,,
21,Kenya,2016,4,29,19,19,24,6,12,113,,
22,Maldives,2014,4,26,21,15,28,7,12,113,,
23,Nepal,2007,4,27,19,18,26,6,12,112,,
24,Nicaragua,2007,4,30,18,27,14,3,15,111,,
25,Ethiopia,2008,3,25,19,18,25,6,14,110,,
26,North Macedonia,2006,2,29,21,22,18,4,14,110,,
27,Bangladesh,2009,2,25,16,20,23,8,15,109,,
28,Brazil,2011,6,29,19,16,22,3,13,108,,
29,Pakistan,2002,6,25,21,17,22,4,13,108,,
30,Seychelles,2018,5,25,17,21,24,5,11,108,,
31,Finland,1951,6,28,23,16,20,3,10,106,,
32,Kosovo,2003,4,24,22,17,20,6,12,105,,
33,Yemen,2012,2,29,18,19,19,3,15,105,,
34,Argentina,2004,6,29,22,16,19,1,11,104,,
35,Malawi,2017,3,27,15,18,21,6,14,104,,
36,Colombia,1985,5,29,17,23,15,4,10,103,,
