Countryname,isocode,df_totalscore,dj_total score
Angola,AGO,4.5,3
Albania,ALB,8.5,4
Argentina,ARG,11.5,5
Armenia,ARM,9.5,4
Australia,AUS,7.5,5
Austria,AUT,9,4
Azerbaijan,AZE,6.5,3
Burundi,BDI,4,1
Belgium,BEL,8,4
Benin,BEN,3.5,2
Burkina Faso,BFA,4.5,5
Bangladesh,BGD,5.5,3
Bulgaria,BGR,10.5,5
Bosnia and Herzegovina,BIH,10.5,4
Bolivia,BOL,6,3
Brazil,BRA,10,5
Botswana,BWA,4.5,2
Canada,CAN,11,5
Switzerland,CHE,10,4
Chile,CHL,10.5,5
China,CHN,7,3
Côte d'Ivoire,CIV,4.5,5
Cameroon,CMR,3.5,3
Congo (DRC),COD,5,3
Colombia,COL,12,5
Costa Rica,CRI,9,4
Cuba,CUB,1,2
Cyprus,CYP,5.5,4
Czech Republic,CZE,9,5
Germany,DEU,9.5,5
Denmark,DNK,9.5,5
Dominican Republic,DOM,9.5,5
Algeria,DZA,5,2
Ecuador,ECU,9.5,5
Egypt,EGY,5.5,2
Spain,ESP,12.5,5
Estonia,EST,12.5,5
Ethiopia,ETH,3.5,4
Finland,FIN,10.5,5
France,FRA,12.5,5
United Kingdom,GBR,11,5
Georgia,GEO,10,3
Ghana,GHA,5,5
Greece,GRC,7.5,5
Guatemala,GTM,8.5,5
Honduras,HND,8.5,5
Croatia,HRV,12,5
Haiti,HTI,0,2
Hungary,HUN,8.5,4
Indonesia,IDN,9.5,5
India,IND,7.5,3
Ireland,IRL,10,5
Iran,IRN,2,2
Iceland,ISL,10,4
Israel,ISR,10,5
Italy,ITA,9.5,5
Jamaica,JAM,6,4
Jordan,JOR,7,4
Japan,JPN,7.5,4
Kazakhstan,KAZ,2.5,3
Kenya,KEN,8,4
Kyrgyz Republic,KGZ,5.5,4
Cambodia,KHM,5,2
Korea Rep,KOR,11,5
Lebanon,LBN,2.5,3
Liberia,LBR,4,4
Sri Lanka,LKA,7.5,4
Lesotho,LSO,3,2
Lithuania,LTU,11.5,5
Luxembourg,LUX,7,5
Latvia,LVA,12,5
Morocco,MAR,3,4
Moldova,MDA,11,5
Mexico,MEX,9.5,5
North Macedonia,MKD,8.5,3
Mali,MLI,5,3
Malta,MLT,8.5,5
Myanmar,MMR,6.5,3
Montenegro,MNE,10.5,5
Mongolia,MNG,9.5,4.5
Mozambique,MOZ,4,4
Malawi,MWI,2.5,5
Malaysia,MYS,6.5,4
Namibia,NAM,5,2
Nigeria,NGA,6,5
Nicaragua,NIC,6,3
Netherlands,NLD,6.5,5
Norway,NOR,11.5,5
Nepal,NPL,7,2
New Zealand,NZL,11,5
Pakistan,PAK,8,4
Panama,PAN,6,4
Peru,PER,11.5,5
Philippines,PHL,6.5,5
Poland,POL,10.5,4
Portugal,PRT,10,5
Paraguay,PRY,11,4
Qatar,QAT,5,2
Romania,ROM,12,5
Russian Federation,RUS,10.5,4
Rwanda,RWA,6.5,3
Saudi Arabia,SAU,4.5,2
Senegal,SEN,5,4
Sierra Leone,SLE,4,5
El Salvador,SLV,7.5,4
Serbia,SRB,11,3
Slovak Republic,SVK,12.5,5
Slovenia,SVN,11,4
Sweden,SWE,8,5
Chad,TCD,1,3
Thailand,THA,7,3
Tajikistan,TJK,3,3
Timor-Leste,TMP,8,3
Trinidad and Tobago,TTO,5,4
Tunisia,TUN,4,4
Turkey,TUR,8,4
Taiwan,TWN,10,4
Tanzania,TZA,6,4
Uganda,UGA,5,4
Ukraine,UKR,12.5,5
Uruguay,URY,9.5,4
United States of America,USA,12,5
Uzbekistan,UZB,4,2
Venezuela,VEN,4,2
Vietnam,VNM,5.5,4
Yemen,YEM,1.5,3
South Africa,ZAF,8.5,5
Zambia,ZMB,5,3
Zimbabwe,ZWE,5,3
